log_date,incident,reported,nature,incident_address,nature_description,date,grouped_nature
01.03.2026,260100092,2026-01-03 23:56:21,WELFARE CHECK,3720 TOWNE CENTER DR; 7-11,Welfare Check,2026-01-03,Welfare/Assist
01.04.2026,260100093,2026-01-04 00:22:37,FOOT PATROL,3660 D ST; CITY HALL,Foot Patrol,2026-01-04,Other
01.04.2026,260100095,2026-01-04 00:37:12,AREA CHECK,2224 BLOSSOM LN,Area Check,2026-01-04,Other
01.04.2026,260100094,2026-01-04 00:43:53,TRAFFIC ENFORCE,1911 FOOTHILL BLVD,Traffic Enforcement,2026-01-04,Traffic Enforcement
01.04.2026,260100096,2026-01-04 01:12:26,BIKE TRAFFIC,FOOTHILL BLVD & EMERALD AVE,Bicycle Traffic Stop,2026-01-04,Traffic Enforcement
01.04.2026,260100098,2026-01-04 02:04:21,TRAFFIC HAZARD,FOO / FUL,Traffic Hazard,2026-01-04,Traffic Enforcement
01.04.2026,260100099,2026-01-04 05:05:22,WELFARE CHECK,4095 FRUIT ST # 110,Welfare Check,2026-01-04,Welfare/Assist
01.04.2026,260100100,2026-01-04 08:27:02,FOOT PATROL,2120 FOOTHILL BLVD,Foot Patrol,2026-01-04,Other
01.04.2026,260100101,2026-01-04 08:35:20,TRAFFIC STOP,FRUIT ST & FOOTHILL BLVD,Traffic Stop,2026-01-04,Traffic Stop
01.04.2026,260100102,2026-01-04 08:54:19,PDOBS,1351 FOOTHILL BLVD,Police Department Observed Suspicious Circumstances,2026-01-04,Suspicious Circumstances
01.04.2026,260100104,2026-01-04 08:56:08,LA VERNE MUNI,1532 FOOTHILL BLVD; PIZZA N STUFF,La Verne Municipal Code Violation,2026-01-04,Other
01.04.2026,260100105,2026-01-04 09:36:45,TRAFFIC STOP,GOLDEN HILLS RD & STEPHENS RANCH RD,Traffic Stop,2026-01-04,Traffic Stop
01.04.2026,260100106,2026-01-04 10:40:28,PDOBS,2488 FOOTHILL BLVD # A; AAA,Police Department Observed Suspicious Circumstances,2026-01-04,Suspicious Circumstances
01.04.2026,260100107,2026-01-04 11:05:20,TRAFFIC HAZARD,2745 THIRD ST,Traffic Hazard,2026-01-04,Traffic Enforcement
01.04.2026,260100109,2026-01-04 11:06:47,487 PC,1947 D ST; D STREET SHELL GAS,Grand Theft,2026-01-04,Grand Theft
01.04.2026,260100111,2026-01-04 14:24:04,SPEEDING VEH,FOOTHILL BLVD & MORENO AVE,Speeding Vehicle,2026-01-04,Traffic Enforcement
01.04.2026,260100113,2026-01-04 14:35:18,PDOBS,FOOTHILL BLVD & WHEELER AVE,Police Department Observed Suspicious Circumstances,2026-01-04,Suspicious Circumstances
01.04.2026,260100117,2026-01-04 14:47:01,PETTY THEFT,1410 FOOTHILL BLVD; AUTO ZONE,Petty Theft,2026-01-04,Petty Theft
01.04.2026,260100120,2026-01-04 15:57:08,SUSP VEHICLE,VILLA WAY & KNOLLWOOD AVE,Suspicious Vehicle,2026-01-04,Suspicious Vehicle
01.04.2026,260100115,2026-01-04 16:29:19,KEEP THE PEACE,2064 WHITE AVE,Keep the Peace,2026-01-04,Welfare/Assist
01.04.2026,260100116,2026-01-04 16:50:21,PETTY THEFT,1915 MCKINLEY AVE,Petty Theft,2026-01-04,Petty Theft
01.04.2026,260100118,2026-01-04 18:09:38,WELFARE CHECK,2565 HANAWALT ST,Welfare Check,2026-01-04,Welfare/Assist
01.04.2026,260100119,2026-01-04 18:42:51,CODE H SUBJ,914 FOOTHILL BLVD; MOBIL,5150 Welfare and Institutions Code Subject,2026-01-04,Welfare/Assist
01.04.2026,260100122,2026-01-04 19:09:18,DISTURB NOISE,THIRD ST & I ST,Disturbance - Noise,2026-01-04,Disturbance
01.04.2026,260100124,2026-01-04 19:11:15,AREA CHECK,WHITE AVE & SYCAMORE DR,Area Check,2026-01-04,Other
01.04.2026,260100121,2026-01-04 19:12:02,DISTURB SUBJS,F ST & FIRST ST,Disturbance - Subjects,2026-01-04,Disturbance
01.04.2026,260100123,2026-01-04 19:25:40,FOUND PROP,1202 VEGA CIR,Found Property,2026-01-04,Property
01.04.2026,260100127,2026-01-04 19:52:03,SUSP VEHICLE,2236 PATTIGLEN AVE,Suspicious Vehicle,2026-01-04,Suspicious Vehicle
01.04.2026,260100125,2026-01-04 20:02:36,TC UNK,SAN DIMAS CANYON RD & BONITA AVE,Traffic Collision - Unknown,2026-01-04,Traffic Collision
01.04.2026,260100126,2026-01-04 20:10:53,911 INVEST,1601 GRANT PL,911 Investigation,2026-01-04,Other
01.04.2026,260100128,2026-01-04 20:35:12,PDOBS,ARROW HWY & A ST,Police Department Observed Suspicious Circumstances,2026-01-04,Suspicious Circumstances
01.04.2026,260100129,2026-01-04 21:43:53,PDOBS,2488 FOOTHILL BLVD # D; BROKEN YOLK CAFE,Police Department Observed Suspicious Circumstances,2026-01-04,Suspicious Circumstances
01.04.2026,260100131,2026-01-04 21:44:36,AREA CHECK,1202 VEGA CIR,Area Check,2026-01-04,Other
01.04.2026,260100130,2026-01-04 21:47:28,TRAFFIC STOP,2369 FOOTHILL BLVD # B; WING STOP,Traffic Stop,2026-01-04,Traffic Stop
01.04.2026,260100132,2026-01-04 22:09:59,AREA CHECK,WHITE AVE & RR,Area Check,2026-01-04,Other
01.04.2026,260100133,2026-01-04 22:29:01,PDOBS,2229 FOOTHILL BLVD # 100; KOHLS,Police Department Observed Suspicious Circumstances,2026-01-04,Suspicious Circumstances
01.04.2026,260100134,2026-01-04 23:43:11,911 INVEST,2701 MOUNTAIN VIEW DR; BIRCH COURT AND MAPLE COURT APTS,911 Investigation,2026-01-04,Other
01.04.2026,260100135,2026-01-04 23:55:15,TRAFFIC STOP,ARROW HWY & A ST,Traffic Stop,2026-01-04,Traffic Stop
01.05.2026,250100147,2025-01-05 00:07:36,DISTURB NOISE,986 SENTINEL DR,Disturbance - Noise,2025-01-05,Disturbance
01.05.2026,250100150,2025-01-05 05:24:51,TRAFFIC STOP,WHITE AVE & EIGHTH ST,Traffic Stop,2025-01-05,Traffic Stop
01.05.2026,250100151,2025-01-05 07:27:24,WELFARE CHECK,914 FOOTHILL BLVD; LA VERNE CAR WASH,Welfare Check,2025-01-05,Welfare/Assist
01.05.2026,250100152,2025-01-05 07:46:13,TRAFFIC STOP,FOOTHILL BLVD & IS210,Traffic Stop,2025-01-05,Traffic Stop
01.05.2026,250100153,2025-01-05 07:51:32,PDOBS,FOOTHILL BLVD & D ST,Police Department Observed Suspicious Circumstances,2025-01-05,Suspicious Circumstances
01.05.2026,250100154,2025-01-05 08:25:14,PDOBS,1950 FOOTHILL BLVD; EDWARDS THEATER,Police Department Observed Suspicious Circumstances,2025-01-05,Suspicious Circumstances
01.05.2026,250100155,2025-01-05 08:37:41,459PC BURGLARY,1948 CLEAR FALLS AVE,Burglary,2025-01-05,Burglary
01.05.2026,250100156,2025-01-05 09:19:46,HUMANE PROBLEM,1758 BONITA AVE,Humane Problem,2025-01-05,Animal
01.05.2026,250100157,2025-01-05 09:47:31,CODE H SUBJ,1911 FIFTH ST,5150 Welfare and Institutions Code Subject,2025-01-05,Welfare/Assist
01.05.2026,250100159,2025-01-05 10:06:48,CODE H SUBJ,1911 FOOTHILL BLVD,5150 Welfare and Institutions Code Subject,2025-01-05,Welfare/Assist
01.05.2026,250100160,2025-01-05 10:12:45,CITIZEN ASST,2206 A ST,Citizen Assist,2025-01-05,Welfare/Assist
01.05.2026,250100161,2025-01-05 11:09:33,CITIZEN ASST,1518 ARROW HWY # E; IDEA HOUSE CO,Citizen Assist,2025-01-05,Welfare/Assist
01.05.2026,250100162,2025-01-05 12:39:01,LOST PROPERTY,1275 FOOTHILL BLVD; LA FITNESS; LOBBY,Lost Property,2025-01-05,Property
01.05.2026,250100164,2025-01-05 13:34:48,WELFARE CHECK,2529 HAYES DR,Welfare Check,2025-01-05,Welfare/Assist
01.05.2026,250100163,2025-01-05 13:38:19,WELFARE CHECK,3912 TURQUOISE LN,Welfare Check,2025-01-05,Welfare/Assist
01.05.2026,250100165,2025-01-05 14:27:58,BATTERY,2914 WHITE AVE,Battery,2025-01-05,Battery
01.05.2026,250100166,2025-01-05 14:34:48,SUSP VEHICLE,4833 CHAMBER AVE,Suspicious Vehicle,2025-01-05,Suspicious Vehicle
01.05.2026,250100168,2025-01-05 15:44:43,PDOBS,1465 FOOTHILL BLVD; RED DEVIL PIZZA,Police Department Observed Suspicious Circumstances,2025-01-05,Suspicious Circumstances
01.05.2026,250100169,2025-01-05 15:54:07,594PC VANDALISM,1504 FOOTHILL BLVD; 99 CENT,Vandalism,2025-01-05,Vandalism
01.05.2026,250100170,2025-01-05 16:17:57,BIKE TRAFFIC,MORENO AVE & FOOTHILL BLVD,Bicycle Traffic Stop,2025-01-05,Traffic Enforcement
01.05.2026,250100171,2025-01-05 16:34:27,TRAFFIC STOP,WHITE AVE & VILLA WAY,Traffic Stop,2025-01-05,Traffic Stop
01.05.2026,250100172,2025-01-05 17:38:08,SUSP VEHICLE,FIG CIR & BOWDOIN ST,Suspicious Vehicle,2025-01-05,Suspicious Vehicle
01.05.2026,250100175,2025-01-05 17:45:59,LOST PROPERTY,1524 FOOTHILL BLVD,Lost Property,2025-01-05,Property
01.05.2026,250100174,2025-01-05 17:54:01,CODE H SUBJ,2208 FOOTHILL BLVD; ROBEKS,5150 Welfare and Institutions Code Subject,2025-01-05,Welfare/Assist
01.05.2026,250100173,2025-01-05 18:11:25,AREA CHECK,1504 FOOTHILL BLVD; 99 CENT,Area Check,2025-01-05,Other
01.05.2026,250100177,2025-01-05 18:43:19,KEEP THE PEACE,1945 FIFTH ST,Keep the Peace,2025-01-05,Welfare/Assist
01.05.2026,250100179,2025-01-05 20:24:00,TC HR NON INJ,D ST & BONITA AVE,Traffic Collision Hit and Run - Non Injuries,2025-01-05,Traffic Collision
01.05.2026,250100181,2025-01-05 21:06:24,TRAFFIC STOP,1000 BASELINE RD,Traffic Stop,2025-01-05,Traffic Stop
01.05.2026,250100183,2025-01-05 23:52:26,TRAFFIC STOP,WHITE AVE & FIFTH ST,Traffic Stop,2025-01-05,Traffic Stop
01.06.2026,260100199,2026-01-06 00:50:08,TRAFFIC STOP,FOOTHILL BLVD  / GAREY AVE,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100200,2026-01-06 02:50:57,SUSP CIRCS,2627 BONITA AVE,Suspicious Circumstances,2026-01-06,Suspicious Circumstances
01.06.2026,260100211,2026-01-06 06:37:24,SUSP VEHICLE,SENTINEL DR & RAMONA AVE,Suspicious Vehicle,2026-01-06,Suspicious Vehicle
01.06.2026,260100203,2026-01-06 07:31:59,TRAFFIC ENFORCE,5200 WHEELER AVE; OAK MESA SCHOOL,Traffic Enforcement,2026-01-06,Traffic Enforcement
01.06.2026,260100204,2026-01-06 07:47:16,TRAFFIC STOP,WHEELER AVE & VIA DE MANSION,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100205,2026-01-06 07:57:59,TRAFFIC STOP,5200 WHEELER AVE; OAK MESA SCHOOL,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100207,2026-01-06 08:04:02,TRAFFIC STOP,WHEELER AVE & OAK MESA DR,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100208,2026-01-06 08:07:03,TRAFFIC STOP,WHEELER AVE & OAK RIDGE DR,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100209,2026-01-06 08:19:45,TRAFFIC STOP,WHEELER AVE & OAK RIDGE DR,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100210,2026-01-06 08:24:18,TRAFFIC ENFORCE,3102 D ST; BONITA HIGH SCHOOL,Traffic Enforcement,2026-01-06,Traffic Enforcement
01.06.2026,260100212,2026-01-06 08:39:55,TRAFFIC STOP,1200 BASELINE RD,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100213,2026-01-06 08:48:22,TRAFFIC STOP,BASELINE RD & WHEELER AVE,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100215,2026-01-06 08:54:57,TRAFFIC STOP,FOOTHILL BLVD & WHEELER AVE,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100216,2026-01-06 09:03:03,TRAFFIC STOP,E ST & SECOND ST,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100219,2026-01-06 09:03:42,LA VERNE MUNI,DRIVER LN & COUNTRY CLUB DR,La Verne Municipal Code Violation,2026-01-06,Other
01.06.2026,260100221,2026-01-06 10:18:16,FOUND PROP,2061 THIRD ST; LOBBY,Found Property,2026-01-06,Property
01.06.2026,260100223,2026-01-06 10:34:36,TRAFFIC STOP,ARROW HWY & A ST,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100224,2026-01-06 10:44:24,CITIZEN ASST,1800 WALNUT ST,Citizen Assist,2026-01-06,Welfare/Assist
01.06.2026,260100227,2026-01-06 10:51:03,ABAND VEH,BONITA AVE & F ST,Abandoned Vehicle,2026-01-06,Parking
01.06.2026,260100228,2026-01-06 10:54:47,CITE SIGN OFF,2061 THIRD ST; LOBBY,Citation Sign Off,2026-01-06,Other
01.06.2026,260100229,2026-01-06 11:15:07,TRAFFIC STOP,ESPERANZA DR & BASELINE RD,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100238,2026-01-06 11:32:10,470 PC FRAUD,2061 THIRD ST; LOBBY,Fraud Report,2026-01-06,Fraud
01.06.2026,260100231,2026-01-06 11:42:47,TRAFFIC STOP,WHEELER AVE & RUGGLES ST,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100232,2026-01-06 12:02:30,TRAFFIC STOP,1400 ARROW HWY,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100233,2026-01-06 12:07:32,ILLEGAL PARKER,WALNUT ST & A ST,Illegal Parking,2026-01-06,Parking
01.06.2026,260100234,2026-01-06 12:26:42,FIGHT IP/JO,2268 FOOTHILL BLVD; ALDI,Fight In Progress / Just Occurred,2026-01-06,Fight
01.06.2026,260100237,2026-01-06 13:53:58,TC NON INJURY,3102 D ST; BONITA HIGH SCHOOL,Traffic Collision - Non Injury,2026-01-06,Traffic Collision
01.06.2026,260100240,2026-01-06 14:44:40,CODE H SUBJ,2444 FOOTHILL BLVD; FIVE BELOW,5150 Welfare and Institutions Code Subject,2026-01-06,Welfare/Assist
01.06.2026,260100239,2026-01-06 15:13:57,ILLEGAL PARKER,THIRD ST & ESTHER AVE,Illegal Parking,2026-01-06,Parking
01.06.2026,260100241,2026-01-06 15:26:05,DISTURB PERSON,2123 FOOTHILL BLVD # B; SHOGUN,Disturbance - Person,2026-01-06,Disturbance
01.06.2026,260100242,2026-01-06 15:37:28,ILLEGAL PARKER,BONITA AVE & F ST,Illegal Parking,2026-01-06,Parking
01.06.2026,260100244,2026-01-06 16:20:30,SUSP CIRCS,5502 RIDGEVIEW DR,Suspicious Circumstances,2026-01-06,Suspicious Circumstances
01.06.2026,260100245,2026-01-06 16:34:51,CODE H SUBJ,1410 FOOTHILL BLVD; AUTO ZONE,5150 Welfare and Institutions Code Subject,2026-01-06,Welfare/Assist
01.06.2026,260100246,2026-01-06 17:03:43,CODE H SUBJ,2620 FIRST ST; CITY YARDS,5150 Welfare and Institutions Code Subject,2026-01-06,Welfare/Assist
01.06.2026,260100250,2026-01-06 18:14:48,WELFARE CHECK,2455 SANTIAGO,Welfare Check,2026-01-06,Welfare/Assist
01.06.2026,260100248,2026-01-06 18:43:55,911 INVEST,1234 FOOTHILL BLVD,911 Investigation,2026-01-06,Other
01.06.2026,260100252,2026-01-06 18:49:43,SUSP SUBJ,3286 BUTTERFIELD AVE,Suspicious Subjects,2026-01-06,Suspicious Subjects
01.06.2026,260100249,2026-01-06 19:02:22,911 INVEST,4095 FRUIT ST # 617,911 Investigation,2026-01-06,Other
01.06.2026,260100251,2026-01-06 19:57:43,TRAFFIC STOP,FRUIT ST & BOWDOIN ST,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100253,2026-01-06 20:26:38,TRAFFIC STOP,TOWNE CENTER DR & FOOTHILL BLVD,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100254,2026-01-06 20:38:31,PETTY THEFT RPT,2229 FOOTHILL BLVD # 100; KOHLS,Petty Theft Report,2026-01-06,Petty Theft
01.06.2026,260100255,2026-01-06 21:46:29,TRAFFIC STOP,WHEELER AVE & FIRST ST,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100256,2026-01-06 22:01:12,TRAFFIC STOP,FOOTHILL BLVD & BRADFORD ST,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100257,2026-01-06 22:19:02,TRAFFIC STOP,WHEELER AVE & FIRST ST,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100258,2026-01-06 22:46:37,TRAFFIC STOP,TOWNE CENTER DR & FOOTHILL BLVD,Traffic Stop,2026-01-06,Traffic Stop
01.06.2026,260100259,2026-01-06 22:53:55,PDOBS,2488 FOOTHILL BLVD #D; BROKEN YOLK CAFE,Police Department Observed Suspicious Circumstances,2026-01-06,Suspicious Circumstances
01.06.2026,260100260,2026-01-06 23:40:38,PDOBS,2200 WHEELER AVE; WHEELER PARK,Police Department Observed Suspicious Circumstances,2026-01-06,Suspicious Circumstances
01.06.2026,260100262,2026-01-06 23:57:06,CITIZEN ASST,2466 SECOND ST,Citizen Assist,2026-01-06,Welfare/Assist
01.07.2026,260100263,2026-01-07 01:52:06,TRAFFIC STOP,FOOTHILL BLVD & CANYON VIEW DR,Traffic Stop,2026-01-07,Traffic Stop
01.07.2026,260100265,2026-01-07 04:00:08,AREA CHECK,3428 LOGAN ST,Area Check,2026-01-07,Other
01.07.2026,260100266,2026-01-07 04:22:55,PDOBS,2369 FOOTHILL BLVD # B; WING STOP,Police Department Observed Suspicious Circumstances,2026-01-07,Suspicious Circumstances
01.07.2026,260100271,2026-01-07 09:03:24,CITIZEN ASST,832 MARIA AVE,Citizen Assist,2026-01-07,Welfare/Assist
01.07.2026,260100272,2026-01-07 09:03:53,TRAFFIC ENFORCE,OAK MESA PARK,Traffic Enforcement,2026-01-07,Traffic Enforcement
01.07.2026,260100273,2026-01-07 09:04:00,459PC BURGLARY,2139 FOOTHILL BLVD,Burglary,2026-01-07,Burglary
01.07.2026,260100275,2026-01-07 09:06:15,470 PC FRAUD,2356 BONITA AVE; LOBBY,Fraud Report,2026-01-07,Fraud
01.07.2026,260100278,2026-01-07 09:10:15,PETTY THEFT,E ST & SECOND ST,Petty Theft,2026-01-07,Petty Theft
01.07.2026,260100280,2026-01-07 09:57:04,CITE SIGN OFF,2061 THIRD ST; LOBBY,Citation Sign Off,2026-01-07,Other
01.07.2026,260100281,2026-01-07 10:38:12,WELFARE CHECK,2755 ARROW HWY #26,Welfare Check,2026-01-07,Welfare/Assist
01.07.2026,260100283,2026-01-07 10:52:41,CITE SIGN OFF,2061 THIRD ST; LOBBY,Citation Sign Off,2026-01-07,Other
01.07.2026,260100285,2026-01-07 11:40:35,SPEEDING VEH,FOOTHILL BLVD & EMERALD AVE,Speeding Vehicle,2026-01-07,Traffic Enforcement
01.07.2026,260100284,2026-01-07 11:45:13,TRAFFIC STOP,ARROW HWY & A ST,Traffic Stop,2026-01-07,Traffic Stop
01.07.2026,260100286,2026-01-07 11:46:48,SUSP SUBJ,836 DUVAL ST,Suspicious Subjects,2026-01-07,Suspicious Subjects
01.07.2026,260100289,2026-01-07 12:12:27,CITIZEN ASST,2466 SECOND ST,Citizen Assist,2026-01-07,Welfare/Assist
01.07.2026,260100290,2026-01-07 13:14:20,CODE H SUBJ,1263 FOOTHILL BLVD,5150 Welfare and Institutions Code Subject,2026-01-07,Welfare/Assist
01.07.2026,260100292,2026-01-07 13:38:03,911 INVEST,4687 COOPER CT,911 Investigation,2026-01-07,Other
01.07.2026,260100294,2026-01-07 13:47:12,TRAFFIC STOP,SAN DIMAS CANYON RD & ARROW HWY,Traffic Stop,2026-01-07,Traffic Stop
01.07.2026,260100296,2026-01-07 13:58:35,911 INVEST,2466 SECOND ST,911 Investigation,2026-01-07,Other
01.07.2026,260100295,2026-01-07 14:02:21,TRAFFIC STOP,BASELINE RD & WHEELER AVE,Traffic Stop,2026-01-07,Traffic Stop
01.07.2026,260100299,2026-01-07 14:52:26,CODE H SUBJ,1263 FOOTHILL BLVD,5150 Welfare and Institutions Code Subject,2026-01-07,Welfare/Assist
01.07.2026,260100302,2026-01-07 15:31:01,WELFARE CHECK,FOOTHILL BLVD & IS210,Welfare Check,2026-01-07,Welfare/Assist
01.07.2026,260100304,2026-01-07 15:38:19,CITIZEN ASST,1652 YEAGER AVE; LOBBY,Citizen Assist,2026-01-07,Welfare/Assist
01.07.2026,260100303,2026-01-07 15:45:13,TC HR NON INJ,ARROW HWY & WHITE AVE; LOBBY,Traffic Collision Hit and Run - Non Injuries,2026-01-07,Traffic Collision
01.07.2026,260100306,2026-01-07 16:17:57,TRAFFIC STOP,ARROW HWY & FULTON RD,Traffic Stop,2026-01-07,Traffic Stop
01.07.2026,260100307,2026-01-07 16:27:08,TRAFFIC STOP,WHITE AVE & KENDALL ST,Traffic Stop,2026-01-07,Traffic Stop
01.07.2026,260100308,2026-01-07 16:42:07,SOLICITOR,1600 FOOTHILL BLVD; VONS,Solicitor,2026-01-07,Trespass/Solicitor
01.07.2026,260100309,2026-01-07 16:51:35,TRAFFIC STOP,2360 FOOTHILL BLVD; EL POLLO LOCO,Traffic Stop,2026-01-07,Traffic Stop
01.07.2026,260100310,2026-01-07 16:58:33,TRAFFIC STOP,1475 FOOTHILL BLVD; DOLLAR TREE,Traffic Stop,2026-01-07,Traffic Stop
01.07.2026,260100312,2026-01-07 17:28:57,911 INVEST,625 ARROW HWY,911 Investigation,2026-01-07,Other
01.07.2026,260100313,2026-01-07 19:29:43,TRAFFIC STOP,WALNUT ST & FAIRPLEX DR,Traffic Stop,2026-01-07,Traffic Stop
01.07.2026,260100314,2026-01-07 20:01:19,SUSP SUBJ,2462 FOOTHILL BLVD; TARGET,Suspicious Subjects,2026-01-07,Suspicious Subjects
01.07.2026,260100315,2026-01-07 20:44:38,PDOBS,A ST & ARROW HWY,Police Department Observed Suspicious Circumstances,2026-01-07,Suspicious Circumstances
01.07.2026,260100316,2026-01-07 20:44:48,PUBLIC INTOX,TLC AUTO,Public Intoxication,2026-01-07,Drug/Alcohol
01.07.2026,260100317,2026-01-07 21:00:19,TRAFFIC STOP,ARROW HWY & WHITE AVE,Traffic Stop,2026-01-07,Traffic Stop
01.07.2026,260100319,2026-01-07 21:17:27,TRAFFIC STOP,WHEELER AVE & ANCONA DR,Traffic Stop,2026-01-07,Traffic Stop
01.07.2026,260100320,2026-01-07 21:19:42,TRAFFIC STOP,GAREY AND FOOTHILL,Traffic Stop,2026-01-07,Traffic Stop
01.07.2026,260100321,2026-01-07 21:33:38,TRAFFIC STOP,FOOTHILL BLVD & EMERALD AVE,Traffic Stop,2026-01-07,Traffic Stop
01.07.2026,260100322,2026-01-07 21:41:35,TRAFFIC STOP,FOOTHILL BLVD & D ST,Traffic Stop,2026-01-07,Traffic Stop
01.07.2026,260100323,2026-01-07 21:53:57,TRAFFIC STOP,FOOTHILL BLVD & WHEELER AVE,Traffic Stop,2026-01-07,Traffic Stop
01.07.2026,260100324,2026-01-07 21:58:58,ILLEGAL PARKER,WHEELER AVE & SECOND ST,Illegal Parking,2026-01-07,Parking
01.07.2026,260100325,2026-01-07 22:06:10,TRAFFIC STOP,FRUIT ST & FOOTHILL BLVD,Traffic Stop,2026-01-07,Traffic Stop
01.07.2026,260100326,2026-01-07 22:20:10,TRAFFIC STOP,2090 FOOTHILL BLVD; STATER BROS,Traffic Stop,2026-01-07,Traffic Stop
01.07.2026,260100327,2026-01-07 22:25:26,TRAFFIC STOP,FOOTHILL BLVD & D ST,Traffic Stop,2026-01-07,Traffic Stop
01.07.2026,260100328,2026-01-07 22:37:08,PDOBS,2090 FOOTHILL BLVD; STATER BROS,Police Department Observed Suspicious Circumstances,2026-01-07,Suspicious Circumstances
01.07.2026,260100329,2026-01-07 22:43:05,TRAFFIC STOP,FOOTHILL BLVD & WHITE AVE,Traffic Stop,2026-01-07,Traffic Stop
01.08.2026,260100331,2026-01-08 00:26:21,TRAFFIC ENFORCE,2300 ARROW HWY; GATE 15,Traffic Enforcement,2026-01-08,Traffic Enforcement
01.08.2026,260100332,2026-01-08 00:51:19,PDOBS,FULTON RD & RR,Police Department Observed Suspicious Circumstances,2026-01-08,Suspicious Circumstances
01.08.2026,260100333,2026-01-08 01:09:46,TRAFFIC HAZARD,WHITE AVE & ARROW HWY,Traffic Hazard,2026-01-08,Traffic Enforcement
01.08.2026,260100335,2026-01-08 01:42:43,PDOBS,ARROW HWY & FAIRPLEX DR,Police Department Observed Suspicious Circumstances,2026-01-08,Suspicious Circumstances
01.08.2026,260100339,2026-01-08 04:53:12,DUI,WHITE AVE & BONITA AVE,Driving Under the Influence,2026-01-08,Drug/Alcohol
01.08.2026,260100340,2026-01-08 05:03:39,TRAFFIC STOP,WHITE AVE & GROVE ST,Traffic Stop,2026-01-08,Traffic Stop
01.08.2026,260100341,2026-01-08 05:43:13,BURGLARY IP/JO,2208 FOOTHILL BLVD; ROBEKS,Burglary In Progress / Just Occurred,2026-01-08,Burglary
