log_date,incident,reported,nature,incident_address
01.02.2026,260100046,12:11:20 01/02/26,ASSIST AGENCY,5368 PINTAIL ST
01.02.2026,260100047,12:36:32 01/02/26,CITIZEN ASST,1399 FOOTHILL BLVD; BANK OF AMERICA;LOBBY
01.02.2026,260100048,12:54:15 01/02/26,CODE H SUBJ,THIRD ST & F ST
01.02.2026,260100049,13:31:44 01/02/26,TC NON INJURY,PUDDINGSTONE DR & FAIRPLEX DR
01.02.2026,260100051,14:25:55 01/02/26,TRAFFIC STOP,WHITE AVE & BONITA AVE
01.02.2026,260100052,14:30:03 01/02/26,PETTY THEFT,2462 FOOTHILL BLVD; TARGET
01.02.2026,260100053,14:44:18 01/02/26,CODE H SUBJ,1405 FOOTHILL BLVD # A; WHEELER CLEANERS
01.02.2026,260100054,14:51:56 01/02/26,PETTY THEFT RPT,2105 FOOTHILL BLVD # B; UPS STORE; LOBBY
01.02.2026,260100057,16:39:49 01/02/26,TRAFFIC STOP,BRADFORD ST & FOOTHILL BLVD
01.02.2026,260100059,20:00:35 01/02/26,BURGLARY IP/JO,4906 ELDORADO DR
01.02.2026,260100062,23:10:33 01/02/26,TRAFFIC ENFORCE,1040 BASELINE RD; LA VERNE HEIGHTS PRESBYTERIAN CHURCH
01.03.2026,260100065,00:21:32 01/03/26,DISTURB NOISE,4095 FRUIT ST # 723
01.03.2026,260100066,00:35:55 01/03/26,TRAFFIC ENFORCE,2300 ARROW HWY; GATE 15
01.03.2026,260100067,01:01:13 01/03/26,911 INVEST,1933 EVERGREEN ST
01.03.2026,260100068,01:04:43 01/03/26,FOOT PATROL,3660 D ST; CITY HALL
01.03.2026,260100069,01:38:55 01/03/26,TRAFFIC ENFORCE,1911 FOOTHILL BLVD
01.03.2026,260100072,08:59:58 01/03/26,AREA CHECK,1496 ARROW HWY
01.03.2026,260100073,09:01:59 01/03/26,CODE H SUBJ,2269 FOOTHILL BLVD; MCDONALDS
01.03.2026,260100074,09:44:24 01/03/26,CODE H SUBJ,1181 FOOTHILL BLVD; STARBUCKS WEST
01.03.2026,260100078,13:37:49 01/03/26,PDOBS,2371 FOOTHILL BLVD; PANDA EXPRESS
01.03.2026,260100079,15:17:32 01/03/26,SUSP SUBJ,WHITE AVE & SIERRA WAY
01.03.2026,260100080,15:37:39 01/03/26,PDOBS,WHITE AVE & COLLEGE LN
01.03.2026,260100085,18:08:45 01/03/26,SUSP SUBJ,5562 ROTARY DR
01.03.2026,260100084,18:39:05 01/03/26,WELFARE CHECK,5094 CADLEY DR
01.03.2026,260100088,21:40:27 01/03/26,TRAFFIC HAZARD,FOOTHILL BLVD & WHEELER AVE
01.03.2026,260100091,23:25:41 01/03/26,PDOBS,5400 WHEELER AVE; OAK MESA PARK
01.03.2026,260100092,23:56:21 01/03/26,WELFARE CHECK,3720 TOWNE CENTER DR; 7-11
01.04.2026,260100093,00:22:37 01/04/26,FOOT PATROL,3660 D ST; CITY HALL
01.04.2026,260100095,00:37:12 01/04/26,AREA CHECK,2224 BLOSSOM LN
01.04.2026,260100094,00:43:53 01/04/26,TRAFFIC ENFORCE,1911 FOOTHILL BLVD
01.04.2026,260100096,01:12:26 01/04/26,BIKE TRAFFIC,FOOTHILL BLVD & EMERALD AVE
01.04.2026,260100098,02:04:21 01/04/26,TRAFFIC HAZARD,FOO / FUL
01.04.2026,260100099,05:05:22 01/04/26,WELFARE CHECK,4095 FRUIT ST # 110
01.04.2026,260100100,08:27:02 01/04/26,FOOT PATROL,2120 FOOTHILL BLVD
01.04.2026,260100101,08:35:20 01/04/26,TRAFFIC STOP,FRUIT ST & FOOTHILL BLVD
01.04.2026,260100102,08:54:19 01/04/26,PDOBS,1351 FOOTHILL BLVD
01.04.2026,260100104,08:56:08 01/04/26,LA VERNE MUNI,1532 FOOTHILL BLVD; PIZZA N STUFF
01.04.2026,260100105,09:36:45 01/04/26,TRAFFIC STOP,GOLDEN HILLS RD & STEPHENS RANCH RD
01.04.2026,260100106,10:40:28 01/04/26,PDOBS,2488 FOOTHILL BLVD # A; AAA
01.04.2026,260100107,11:05:20 01/04/26,TRAFFIC HAZARD,2745 THIRD ST
01.04.2026,260100109,11:06:47 01/04/26,487 PC,1947 D ST; D STREET SHELL GAS
01.04.2026,260100111,14:24:04 01/04/26,SPEEDING VEH,FOOTHILL BLVD & MORENO AVE
01.04.2026,260100113,14:35:18 01/04/26,PDOBS,FOOTHILL BLVD & WHEELER AVE
01.04.2026,260100117,14:47:01 01/04/26,PETTY THEFT,1410 FOOTHILL BLVD; AUTO ZONE
01.04.2026,260100120,15:57:08 01/04/26,SUSP VEHICLE,VILLA WAY & KNOLLWOOD AVE
01.04.2026,260100115,16:29:19 01/04/26,KEEP THE PEACE,2064 WHITE AVE
01.04.2026,260100116,16:50:21 01/04/26,PETTY THEFT,1915 MCKINLEY AVE
01.04.2026,260100118,18:09:38 01/04/26,WELFARE CHECK,2565 HANAWALT ST
01.04.2026,260100119,18:42:51 01/04/26,CODE H SUBJ,914 FOOTHILL BLVD; MOBIL
01.04.2026,260100122,19:09:18 01/04/26,DISTURB NOISE,THIRD ST & I ST
01.04.2026,260100124,19:11:15 01/04/26,AREA CHECK,WHITE AVE & SYCAMORE DR
01.04.2026,260100121,19:12:02 01/04/26,DISTURB SUBJS,F ST & FIRST ST
01.04.2026,260100123,19:25:40 01/04/26,FOUND PROP,1202 VEGA CIR
01.04.2026,260100127,19:52:03 01/04/26,SUSP VEHICLE,2236 PATTIGLEN AVE
01.04.2026,260100125,20:02:36 01/04/26,TC UNK,SAN DIMAS CANYON RD & BONITA AVE
01.04.2026,260100126,20:10:53 01/04/26,911 INVEST,1601 GRANT PL
01.04.2026,260100128,20:35:12 01/04/26,PDOBS,ARROW HWY & A ST
01.04.2026,260100129,21:43:53 01/04/26,PDOBS,2488 FOOTHILL BLVD # D; BROKEN YOLK CAFE
01.04.2026,260100131,21:44:36 01/04/26,AREA CHECK,1202 VEGA CIR
01.04.2026,260100130,21:47:28 01/04/26,TRAFFIC STOP,2369 FOOTHILL BLVD # B; WING STOP
01.04.2026,260100132,22:09:59 01/04/26,AREA CHECK,WHITE AVE & RR
01.04.2026,260100133,22:29:01 01/04/26,PDOBS,2229 FOOTHILL BLVD # 100; KOHLS
01.04.2026,260100134,23:43:11 01/04/26,911 INVEST,2701 MOUNTAIN VIEW DR; BIRCH COURT AND MAPLE COURT APTS
01.04.2026,260100135,23:55:15 01/04/26,TRAFFIC STOP,ARROW HWY & A ST
01.05.2026,250100147,00:07:36 01/05/25,DISTURB NOISE,986 SENTINEL DR
01.05.2026,250100150,05:24:51 01/05/25,TRAFFIC STOP,WHITE AVE & EIGHTH ST
01.05.2026,250100151,07:27:24 01/05/25,WELFARE CHECK,914 FOOTHILL BLVD; LA VERNE CAR WASH
01.05.2026,250100152,07:46:13 01/05/25,TRAFFIC STOP,FOOTHILL BLVD & IS210
01.05.2026,250100153,07:51:32 01/05/25,PDOBS,FOOTHILL BLVD & D ST
01.05.2026,250100154,08:25:14 01/05/25,PDOBS,1950 FOOTHILL BLVD; EDWARDS THEATER
01.05.2026,250100155,08:37:41 01/05/25,459PC BURGLARY,1948 CLEAR FALLS AVE
01.05.2026,250100156,09:19:46 01/05/25,HUMANE PROBLEM,1758 BONITA AVE
01.05.2026,250100157,09:47:31 01/05/25,CODE H SUBJ,1911 FIFTH ST
01.05.2026,250100159,10:06:48 01/05/25,CODE H SUBJ,1911 FOOTHILL BLVD
01.05.2026,250100160,10:12:45 01/05/25,CITIZEN ASST,2206 A ST
01.05.2026,250100161,11:09:33 01/05/25,CITIZEN ASST,1518 ARROW HWY # E; IDEA HOUSE CO
01.05.2026,250100162,12:39:01 01/05/25,LOST PROPERTY,1275 FOOTHILL BLVD; LA FITNESS; LOBBY
01.05.2026,250100164,13:34:48 01/05/25,WELFARE CHECK,2529 HAYES DR
01.05.2026,250100163,13:38:19 01/05/25,WELFARE CHECK,3912 TURQUOISE LN
01.05.2026,250100165,14:27:58 01/05/25,BATTERY,2914 WHITE AVE
01.05.2026,250100166,14:34:48 01/05/25,SUSP VEHICLE,4833 CHAMBER AVE
01.05.2026,250100168,15:44:43 01/05/25,PDOBS,1465 FOOTHILL BLVD; RED DEVIL PIZZA
01.05.2026,250100169,15:54:07 01/05/25,594PC VANDALISM,1504 FOOTHILL BLVD; 99 CENT
01.05.2026,250100170,16:17:57 01/05/25,BIKE TRAFFIC,MORENO AVE & FOOTHILL BLVD
01.05.2026,250100171,16:34:27 01/05/25,TRAFFIC STOP,WHITE AVE & VILLA WAY
01.05.2026,250100172,17:38:08 01/05/25,SUSP VEHICLE,FIG CIR & BOWDOIN ST
01.05.2026,250100175,17:45:59 01/05/25,LOST PROPERTY,1524 FOOTHILL BLVD
01.05.2026,250100174,17:54:01 01/05/25,CODE H SUBJ,2208 FOOTHILL BLVD; ROBEKS
01.05.2026,250100173,18:11:25 01/05/25,AREA CHECK,1504 FOOTHILL BLVD; 99 CENT
01.05.2026,250100177,18:43:19 01/05/25,KEEP THE PEACE,1945 FIFTH ST
01.05.2026,250100179,20:24:00 01/05/25,TC HR NON INJ,D ST & BONITA AVE
01.05.2026,250100181,21:06:24 01/05/25,TRAFFIC STOP,1000 BASELINE RD
01.05.2026,250100183,23:52:26 01/05/25,TRAFFIC STOP,WHITE AVE & FIFTH ST
01.06.2026,260100199,00:50:08 01/06/26,TRAFFIC STOP,FOOTHILL BLVD  / GAREY AVE
01.06.2026,260100200,02:50:57 01/06/26,SUSP CIRCS,2627 BONITA AVE
01.06.2026,260100211,06:37:24 01/06/26,SUSP VEHICLE,SENTINEL DR & RAMONA AVE
01.06.2026,260100203,07:31:59 01/06/26,TRAFFIC ENFORCE,5200 WHEELER AVE; OAK MESA SCHOOL
01.06.2026,260100204,07:47:16 01/06/26,TRAFFIC STOP,WHEELER AVE & VIA DE MANSION
01.06.2026,260100205,07:57:59 01/06/26,TRAFFIC STOP,5200 WHEELER AVE; OAK MESA SCHOOL
01.06.2026,260100207,08:04:02 01/06/26,TRAFFIC STOP,WHEELER AVE & OAK MESA DR
01.06.2026,260100208,08:07:03 01/06/26,TRAFFIC STOP,WHEELER AVE & OAK RIDGE DR
01.06.2026,260100209,08:19:45 01/06/26,TRAFFIC STOP,WHEELER AVE & OAK RIDGE DR
01.06.2026,260100210,08:24:18 01/06/26,TRAFFIC ENFORCE,3102 D ST; BONITA HIGH SCHOOL
01.06.2026,260100212,08:39:55 01/06/26,TRAFFIC STOP,1200 BASELINE RD
01.06.2026,260100213,08:48:22 01/06/26,TRAFFIC STOP,BASELINE RD & WHEELER AVE
01.06.2026,260100215,08:54:57 01/06/26,TRAFFIC STOP,FOOTHILL BLVD & WHEELER AVE
01.06.2026,260100216,09:03:03 01/06/26,TRAFFIC STOP,E ST & SECOND ST
01.06.2026,260100219,09:03:42 01/06/26,LA VERNE MUNI,DRIVER LN & COUNTRY CLUB DR
01.06.2026,260100221,10:18:16 01/06/26,FOUND PROP,2061 THIRD ST; LOBBY
01.06.2026,260100223,10:34:36 01/06/26,TRAFFIC STOP,ARROW HWY & A ST
01.06.2026,260100224,10:44:24 01/06/26,CITIZEN ASST,1800 WALNUT ST
01.06.2026,260100227,10:51:03 01/06/26,ABAND VEH,BONITA AVE & F ST
01.06.2026,260100228,10:54:47 01/06/26,CITE SIGN OFF,2061 THIRD ST; LOBBY
01.06.2026,260100229,11:15:07 01/06/26,TRAFFIC STOP,ESPERANZA DR & BASELINE RD
01.06.2026,260100238,11:32:10 01/06/26,470 PC FRAUD,2061 THIRD ST; LOBBY
01.06.2026,260100231,11:42:47 01/06/26,TRAFFIC STOP,WHEELER AVE & RUGGLES ST
01.06.2026,260100232,12:02:30 01/06/26,TRAFFIC STOP,1400 ARROW HWY
01.06.2026,260100233,12:07:32 01/06/26,ILLEGAL PARKER,WALNUT ST & A ST
01.06.2026,260100234,12:26:42 01/06/26,FIGHT IP/JO,2268 FOOTHILL BLVD; ALDI
01.06.2026,260100237,13:53:58 01/06/26,TC NON INJURY,3102 D ST; BONITA HIGH SCHOOL
01.06.2026,260100240,14:44:40 01/06/26,CODE H SUBJ,2444 FOOTHILL BLVD; FIVE BELOW
01.06.2026,260100239,15:13:57 01/06/26,ILLEGAL PARKER,THIRD ST & ESTHER AVE
01.06.2026,260100241,15:26:05 01/06/26,DISTURB PERSON,2123 FOOTHILL BLVD # B; SHOGUN
01.06.2026,260100242,15:37:28 01/06/26,ILLEGAL PARKER,BONITA AVE & F ST
01.06.2026,260100244,16:20:30 01/06/26,SUSP CIRCS,5502 RIDGEVIEW DR
01.06.2026,260100245,16:34:51 01/06/26,CODE H SUBJ,1410 FOOTHILL BLVD; AUTO ZONE
01.06.2026,260100246,17:03:43 01/06/26,CODE H SUBJ,2620 FIRST ST; CITY YARDS
01.06.2026,260100250,18:14:48 01/06/26,WELFARE CHECK,2455 SANTIAGO
01.06.2026,260100248,18:43:55 01/06/26,911 INVEST,1234 FOOTHILL BLVD
01.06.2026,260100252,18:49:43 01/06/26,SUSP SUBJ,3286 BUTTERFIELD AVE
01.06.2026,260100249,19:02:22 01/06/26,911 INVEST,4095 FRUIT ST # 617
01.06.2026,260100251,19:57:43 01/06/26,TRAFFIC STOP,FRUIT ST & BOWDOIN ST
01.06.2026,260100253,20:26:38 01/06/26,TRAFFIC STOP,TOWNE CENTER DR & FOOTHILL BLVD
01.06.2026,260100254,20:38:31 01/06/26,PETTY THEFT RPT,2229 FOOTHILL BLVD # 100; KOHLS
01.06.2026,260100255,21:46:29 01/06/26,TRAFFIC STOP,WHEELER AVE & FIRST ST
01.06.2026,260100256,22:01:12 01/06/26,TRAFFIC STOP,FOOTHILL BLVD & BRADFORD ST
01.06.2026,260100257,22:19:02 01/06/26,TRAFFIC STOP,WHEELER AVE & FIRST ST
01.06.2026,260100258,22:46:37 01/06/26,TRAFFIC STOP,TOWNE CENTER DR & FOOTHILL BLVD
01.06.2026,260100259,22:53:55 01/06/26,PDOBS,2488 FOOTHILL BLVD #D; BROKEN YOLK CAFE
01.06.2026,260100260,23:40:38 01/06/26,PDOBS,2200 WHEELER AVE; WHEELER PARK
01.06.2026,260100262,23:57:06 01/06/26,CITIZEN ASST,2466 SECOND ST
01.07.2026,260100263,01:52:06 01/07/26,TRAFFIC STOP,FOOTHILL BLVD & CANYON VIEW DR
01.07.2026,260100265,04:00:08 01/07/26,AREA CHECK,3428 LOGAN ST
01.07.2026,260100266,04:22:55 01/07/26,PDOBS,2369 FOOTHILL BLVD # B; WING STOP
01.07.2026,260100271,09:03:24 01/07/26,CITIZEN ASST,832 MARIA AVE
01.07.2026,260100272,09:03:53 01/07/26,TRAFFIC ENFORCE,OAK MESA PARK
01.07.2026,260100273,09:04:00 01/07/26,459PC BURGLARY,2139 FOOTHILL BLVD
01.07.2026,260100275,09:06:15 01/07/26,470 PC FRAUD,2356 BONITA AVE; LOBBY
01.07.2026,260100278,09:10:15 01/07/26,PETTY THEFT,E ST & SECOND ST
01.07.2026,260100280,09:57:04 01/07/26,CITE SIGN OFF,2061 THIRD ST; LOBBY
01.07.2026,260100281,10:38:12 01/07/26,WELFARE CHECK,2755 ARROW HWY #26
01.07.2026,260100283,10:52:41 01/07/26,CITE SIGN OFF,2061 THIRD ST; LOBBY
01.07.2026,260100285,11:40:35 01/07/26,SPEEDING VEH,FOOTHILL BLVD & EMERALD AVE
01.07.2026,260100284,11:45:13 01/07/26,TRAFFIC STOP,ARROW HWY & A ST
01.07.2026,260100286,11:46:48 01/07/26,SUSP SUBJ,836 DUVAL ST
01.07.2026,260100289,12:12:27 01/07/26,CITIZEN ASST,2466 SECOND ST
01.07.2026,260100290,13:14:20 01/07/26,CODE H SUBJ,1263 FOOTHILL BLVD
01.07.2026,260100292,13:38:03 01/07/26,911 INVEST,4687 COOPER CT
01.07.2026,260100294,13:47:12 01/07/26,TRAFFIC STOP,SAN DIMAS CANYON RD & ARROW HWY
01.07.2026,260100296,13:58:35 01/07/26,911 INVEST,2466 SECOND ST
01.07.2026,260100295,14:02:21 01/07/26,TRAFFIC STOP,BASELINE RD & WHEELER AVE
01.07.2026,260100299,14:52:26 01/07/26,CODE H SUBJ,1263 FOOTHILL BLVD
01.07.2026,260100302,15:31:01 01/07/26,WELFARE CHECK,FOOTHILL BLVD & IS210
01.07.2026,260100304,15:38:19 01/07/26,CITIZEN ASST,1652 YEAGER AVE; LOBBY
01.07.2026,260100303,15:45:13 01/07/26,TC HR NON INJ,ARROW HWY & WHITE AVE; LOBBY
01.07.2026,260100306,16:17:57 01/07/26,TRAFFIC STOP,ARROW HWY & FULTON RD
01.07.2026,260100307,16:27:08 01/07/26,TRAFFIC STOP,WHITE AVE & KENDALL ST
01.07.2026,260100308,16:42:07 01/07/26,SOLICITOR,1600 FOOTHILL BLVD; VONS
01.07.2026,260100309,16:51:35 01/07/26,TRAFFIC STOP,2360 FOOTHILL BLVD; EL POLLO LOCO
01.07.2026,260100310,16:58:33 01/07/26,TRAFFIC STOP,1475 FOOTHILL BLVD; DOLLAR TREE
01.07.2026,260100312,17:28:57 01/07/26,911 INVEST,625 ARROW HWY
01.07.2026,260100313,19:29:43 01/07/26,TRAFFIC STOP,WALNUT ST & FAIRPLEX DR
01.07.2026,260100314,20:01:19 01/07/26,SUSP SUBJ,2462 FOOTHILL BLVD; TARGET
01.07.2026,260100315,20:44:38 01/07/26,PDOBS,A ST & ARROW HWY
01.07.2026,260100316,20:44:48 01/07/26,PUBLIC INTOX,TLC AUTO
01.07.2026,260100317,21:00:19 01/07/26,TRAFFIC STOP,ARROW HWY & WHITE AVE
01.07.2026,260100319,21:17:27 01/07/26,TRAFFIC STOP,WHEELER AVE & ANCONA DR
01.07.2026,260100320,21:19:42 01/07/26,TRAFFIC STOP,GAREY AND FOOTHILL
01.07.2026,260100321,21:33:38 01/07/26,TRAFFIC STOP,FOOTHILL BLVD & EMERALD AVE
01.07.2026,260100322,21:41:35 01/07/26,TRAFFIC STOP,FOOTHILL BLVD & D ST
01.07.2026,260100323,21:53:57 01/07/26,TRAFFIC STOP,FOOTHILL BLVD & WHEELER AVE
01.07.2026,260100324,21:58:58 01/07/26,ILLEGAL PARKER,WHEELER AVE & SECOND ST
01.07.2026,260100325,22:06:10 01/07/26,TRAFFIC STOP,FRUIT ST & FOOTHILL BLVD
01.07.2026,260100326,22:20:10 01/07/26,TRAFFIC STOP,2090 FOOTHILL BLVD; STATER BROS
01.07.2026,260100327,22:25:26 01/07/26,TRAFFIC STOP,FOOTHILL BLVD & D ST
01.07.2026,260100328,22:37:08 01/07/26,PDOBS,2090 FOOTHILL BLVD; STATER BROS
01.07.2026,260100329,22:43:05 01/07/26,TRAFFIC STOP,FOOTHILL BLVD & WHITE AVE
01.08.2026,260100331,00:26:21 01/08/26,TRAFFIC ENFORCE,2300 ARROW HWY; GATE 15
01.08.2026,260100332,00:51:19 01/08/26,PDOBS,FULTON RD & RR
01.08.2026,260100333,01:09:46 01/08/26,TRAFFIC HAZARD,WHITE AVE & ARROW HWY
01.08.2026,260100335,01:42:43 01/08/26,PDOBS,ARROW HWY & FAIRPLEX DR
01.08.2026,260100339,04:53:12 01/08/26,DUI,WHITE AVE & BONITA AVE
01.08.2026,260100340,05:03:39 01/08/26,TRAFFIC STOP,WHITE AVE & GROVE ST
01.08.2026,260100341,05:43:13 01/08/26,BURGLARY IP/JO,2208 FOOTHILL BLVD; ROBEKS
01.08.2026,260100347,09:21:04 01/08/26,SUSP VEHICLE,4676 ROMOLA AVE
01.08.2026,260100348,10:26:38 01/08/26,CODE H SUBJ,1950 FOOTHILL BLVD; EDWARDS THEATER
01.08.2026,260100350,10:48:21 01/08/26,CODE H SUBJ,1640 WHITE AVE; PUBLIC STORAGE
01.08.2026,260100351,11:03:03 01/08/26,FOUND PROP,F ST & BONITA AVE; LOBBY
01.08.2026,260100354,12:11:01 01/08/26,AREA CHECK,BASELINE RD & BIXBY DR
01.08.2026,260100353,12:45:48 01/08/26,487 PC,1510 WHITE UNIT D
01.08.2026,260100360,13:59:11 01/08/26,ILLEGAL PARKER,3535 LOGAN ST
01.08.2026,260100362,14:49:11 01/08/26,HAIL BY CITIZEN,1600 FOOTHILL BLVD; VONS
01.08.2026,260100363,14:49:58 01/08/26,911 INVEST,SAN DIMAS CANYON RD & FOOTHILL BLVD
01.08.2026,260100364,16:29:20 01/08/26,SUSP SUBJ,919 FOOTHILL BLVD; MR DS DINER
01.08.2026,260100367,18:25:47 01/08/26,TC HR NON INJ,BONITA AVE & DAMIEN AVE
01.08.2026,260100368,18:31:54 01/08/26,DUI,ARROW HWY & WHITE AVE
01.08.2026,260100370,18:33:32 01/08/26,SUSP VEHICLE,4734 VALLE VERDE CT
01.08.2026,260100375,19:11:14 01/08/26,CITIZEN ASST,2120 FOOTHILL BLVD #103; CAVVD EDWIN N KENDRICK MD
01.08.2026,260100369,19:25:37 01/08/26,TC NON INJURY,2772 DAMIEN AVE
01.08.2026,260100371,20:04:26 01/08/26,TC NON INJURY,2722 DAMIEN AVE
01.08.2026,260100372,21:13:59 01/08/26,594 PC GRAFFITI,1927 WALNUT ST
01.08.2026,260100374,21:59:14 01/08/26,SUSP SUBJ,1927 C ST
01.08.2026,260100376,22:50:29 01/08/26,DISTURB MUSIC,1452 THIRD ST
01.08.2026,260100378,23:54:48 01/08/26,SUSP SUBJ,2282 FOOTHILL BLVD; CHIPOTLE
01.09.2026,260100380,01:05:07 01/09/26,SUSP CIRCS,FRUIT ST & FOOTHILL BLVD
01.09.2026,260100381,01:13:56 01/09/26,SUSP CIRCS,ARROW HWY & D ST
01.09.2026,260100382,01:23:53 01/09/26,DISTURB NOISE,1510 WHITE AVE
01.09.2026,260100385,06:54:50 01/09/26,WELFARE CHECK,2717 ARROW HWY #146
01.09.2026,260100389,08:57:04 01/09/26,PETTY THEFT RPT,2150 FIRST ST; LOBBY
01.09.2026,260100399,09:38:22 01/09/26,TRAFFIC ENFORCE,2224 D ST; NOT IN LOBBY
01.09.2026,260100395,09:43:43 01/09/26,LOST PROPERTY,5105 OLD RANCH RD
01.09.2026,260100400,10:16:09 01/09/26,DISTURB PERSON,2082 FOOTHILL BLVD; PEARL DENTAL GROUP
01.09.2026,260100404,10:17:04 01/09/26,ABAND VEH,1446 BEAVER WAY
01.09.2026,260100414,10:26:54 01/09/26,CITIZEN ASST,1350 THIRD ST; JOAN MACY SCHOOL; VIA 10-21
01.09.2026,260100403,10:34:32 01/09/26,911 INVEST,2043 D ST; ULV CITRUS HALL
01.09.2026,260100411,11:24:14 01/09/26,SUSP TRANS,2275 FULTON RD
01.09.2026,260100424,11:31:17 01/09/26,CITIZEN ASST,4525 RAMONA AVE #12
01.09.2026,260100412,11:56:57 01/09/26,WELFARE CHECK,1401 FOOTHILL BLVD; TACO BELL
01.09.2026,260100421,13:19:23 01/09/26,ASSIST AGENCY,GLENDORA PD
01.09.2026,260100426,14:05:59 01/09/26,SUSP TRANS,2909 ARROW HWY #20
01.09.2026,260100432,14:56:01 01/09/26,AREA CHECK,WHITE AVE & BONITA AVE
01.09.2026,260100433,15:06:20 01/09/26,ILLEGAL PARKER,2061 THIRD ST; LVPD
01.09.2026,260100435,15:19:17 01/09/26,ASSIST AGENCY,816 LAKE AVE
01.09.2026,260100437,15:31:04 01/09/26,ILLEGAL PARKER,1387 THIRD ST
01.09.2026,260100440,15:42:27 01/09/26,KEEP THE PEACE,3460 COLUMBIA DR
01.09.2026,260100441,16:12:36 01/09/26,911 INVEST,STEPHENS RANCH RD & ESPERANZA DR
01.09.2026,260100442,16:25:20 01/09/26,ASSIST AGENCY,841 BONITA AVE
01.09.2026,260100444,16:46:15 01/09/26,PETTY THEFT RPT,3460 COLUMBIA DR
01.09.2026,260100447,18:20:16 01/09/26,LA VERNE MUNI,2246 F ST
01.09.2026,260100446,18:59:27 01/09/26,DISTURB SUBJS,DURWARD WAY & D ST
01.09.2026,260100449,19:34:05 01/09/26,TC NON INJURY,FIRST ST & WHEELER AVE
01.09.2026,260100450,19:56:16 01/09/26,TRAFFIC STOP,FOOTHILL BLVD & WHITE AVE
01.09.2026,260100451,20:17:20 01/09/26,TRAFFIC STOP,FOOTHILL BLVD & TOWNE CENTER DR
01.09.2026,260100452,21:59:33 01/09/26,BIKE TRAFFIC,G ST & SEVENTH ST
01.09.2026,260100454,22:50:29 01/09/26,DISTURB MUSIC,2136 THIRD ST; TABERNA INC
01.10.2026,260100455,01:35:31 01/10/26,TRAFFIC STOP,WHITE AVE & FIFTH ST
01.10.2026,260100457,01:53:01 01/10/26,TRAFFIC STOP,2201 N WHITE; DERBY ROOM
01.10.2026,260100459,03:58:12 01/10/26,TRAFFIC ENFORCE,FOOTHILL BLVD & EMERALD AVE
01.10.2026,260100462,08:16:58 01/10/26,911 INVEST,4095 FRUIT ST #809
